Category,Job Role,Location,Job Description,Required Skills,MIn Salary(INR/year) in lpa,Max Salary(INR/year) in lpa,Average salary,Company
Data / Analytics,Data Analyst – Business Planning,India,Provide data support for business planning and finance teams.,"Excel, SQL, analytics",10,20,15,Airtel
Data / Analytics,Implementation Specialist – Healthcare,India,Implement health IT solutions for hospitals and clients.,"Documentation, SQL, healthcare domain knowledge",10,14,12,Cerner
Data / Analytics,Data Analyst,Bangalore / Gurgaon,Analyse booking and customer data to help optimise travel deals.,"SQL, Excel, Data Visualisation",10,18,14,Cleartrip (hirist.tech)
Data / Analytics,Reference Data Analyst,Bengaluru,Manage reference data sets and ensure data integrity for bank operations.,"SQL, data management, attention to detail",10,21,15.5,Deutsche Bank
Data / Analytics,Reporting & Analytics Analyst,"Bengaluru, Karnataka",Build dashboards and visualisations for enterprise analytics at Equinix. (careers.equinix.com),"Data visualisation, SQL/Excel, BI tools",10,22,16,Equinix
Data / Analytics,Data Scientist – Manufacturing Analytics,Pune / India,Use data from machines and sensors to find patterns and help improve production.,"Python, ML, Data Wrangling, Statistics",10,23,16.5,Honeywell
Data / Analytics,Data Analyst – Investment Platform Insights,India,Analyse user & investment data for Groww to make better product decisions.,"SQL, Excel, data visualisation",10,14,12,Groww (Indeed)
Data / Analytics,Data Analyst,"Bengaluru, Karnataka",Analyse business data to produce insights for decision-making at Target. (Target Corporation),"SQL, Excel, data visualisation",10,20,15,Target Corporation
Data / Analytics,BI Engineer / Data Analytics,India,Handle analytics & business intelligence for Droom’s marketplace operations.,"SQL, Python, Data Visualisation",10,15,12.5,Droom
Data / Analytics,Data Analyst – Marketplace Insights,Remote,Analyse user behaviour and metrics for creator marketplace.,"SQL, Python, Analytics",10,14,12,Contra
Data / Analytics,Business Data Analyst,"Noida, India",Use business data to help teams make better decisions at UKG. (UKG),"SQL, Excel, Data Visualisation, Storytelling",10,17,13.5,UKG
Data / Analytics,Data Analyst – Marketplace Insights,India,Analyse marketplace data to spot trends and improve performance.,"SQL, Python, Data Visualisation",10,15,12.5,OLX Group
Data / Analytics,Business Intelligence Developer,India,Build reports and dashboards for enterprise customers.,"SQL, Power BI/Tableau, Data modelling",10,22,16,OpenText
Data / Analytics,Data Analyst – Aviation Operations,India,"Analyse aviation operations, logistics and performance data.","SQL, Excel, Data visualisation",10,14,12,Airbus
Data / Analytics,Data Engineer – Logistics & Delivery Data,India,Build data pipelines and analytics for Delhivery’s delivery operations.,"Python, SQL, ETL",10,16,13,Delhivery
Data / Analytics,Data Scientist – Business Insights,India,Analyse business process & operations data for Genpact’s clients.,"Python, SQL, analytics",10,21,15.5,Genpact
Data / Analytics,Data Scientist – AdTech / Marketing Insights,India,Analyse marketing/ad-tech data for Reprise Digital clients.,"Python, SQL, analytics",10,16,13,Reprise Digital
Data / Analytics,Data Analyst – Operations,"Bengaluru, India",Analyse operations and logistics data to improve delivery speed.,"SQL, Excel, Python",9,21,15,bigbasket
Data / Analytics,Data Analyst – Marketplace,India,Analyse user & vehicle data to improve marketplace recommendations.,"SQL, Python, Data visualization",9,14,11.5,CarDekho
Data / Analytics,Fraud Analyst – FinTech,India,Analyse transactions and detect fraud for Freecharge users.,"SQL, Python, Analytics, Problem solving",9,20,14.5,Freecharge
Data / Analytics,Business Analyst,India,Use marketplace data to give insights to business teams and improve performance.,"SQL, Excel, Data Visualization",9,13,11,IndiaMART
Data / Analytics,Data Analyst – Travel Operations,Bengaluru / India,"Analyze booking data, trends and help improve travel operations.","SQL, Python, Visualization",9,14,11.5,MakeMyTrip
Data / Analytics,Data Analyst – eCommerce Insights,Bengaluru / India,Analyze user & seller data to improve product and growth on Meesho.,"SQL, Python, Excel",9,24,16.5,Meesho
Data / Analytics,Data Analyst – Product & UX Insights,India,Analyse shopper behaviour and product usage to improve platform.,"SQL, Excel, Data visualization",9,14,11.5,Zivame
Data / Analytics,Business Analyst – HR Analytics,India,Analyse HR metrics and help clients improve workforce strategy.,"Excel, SQL, Data visualization",9,13,11,Bounce / PeopleStrong
Data / Analytics,Data Analyst – Product Insights,India,Analyse manufacturing & product usage data to guide development.,"SQL, Excel, Data visualization",9,20,14.5,Cimpress
Data / Analytics,Data Analyst – Insights,India,"Analyse service, customer and operations data to improve performance.","SQL, Excel, Visualization, Data interpretation",9,14,11.5,Urban Company (Indeed)
Data / Analytics,Data Analyst – Marketplace Insights,"Bengaluru, Karnataka",Analyse buyer/seller data to improve operations and performance of Udaan.,"SQL, Excel, Data Visualisation (udaanindia.com)",9,14,11.5,Udaan
Data / Analytics,Data Analyst – eCommerce Insights,India,Analyse customer and sales data to help improve marketplace performance.,"SQL, Excel, Tableau/PowerBI",9,13,11,eBay Inc.
Data / Analytics,Data Analyst – Local Commerce Insights,India,Analyze user and merchant behaviour for Magicpin’s local commerce platform.,"SQL, Excel, Analytics, Visualisation",9,20,14.5,Magicpin
Data / Analytics,Data Analyst – Learning & Outcomes Insights,India / Remote,Analyse learner data & platform outcomes for Multiverse.,"SQL, Excel, Data Visualisation, Statistics",9,24,16.5,Multiverse
Data / Analytics,Data Scientist – Marketplace Insights,India,Analyse marketplace & seller data to improve operations and performance.,"SQL, Python, Visualization",9,14,11.5,Ninjacart
Data / Analytics,Business Analyst – Data & Insights,India,"Analyse user, order & operational data for PharmEasy and improve systems.","SQL, Excel, Visualization",9,20,14.5,PharmEasy
Data / Analytics,Data Analyst – Finance Insights,India / Remote,Analyse business and expense data to drive insights for Ramp’s platform.,"SQL, Excel, Data Visualisation",9,15,12,Ramp
Data / Analytics,Data Analyst – Payments & Operations,India,Analyse operational and payments data to improve Stripe’s processes.,"Excel, SQL, Data Visualisation",9,20,14.5,Stripe Inc.
Data / Analytics,Data Analyst – Mobility Ops,India,Analyse operational data to optimise transport systems and mobility solutions.,"SQL, Excel, analytics, domain understanding",9,21,15,Alstom
Data / Analytics,Data Analyst – HealthTech Analytics,India / Remote,Analyse healthcare data and help improve platform outcomes.,"SQL, Excel, Domain knowledge",9,14,11.5,athenahealth
Data / Analytics,Data Analyst – IT Operations Insights,India,Analyse IT operations data to produce insights and improve software.,"SQL, Excel, Data visualisation",9,14,11.5,BMC Software
Data / Analytics,Business Analyst – Payment Systems,India,Analyse payment flows and help optimise Fiserv’s systems.,"SQL, Excel, payment domain knowledge",9,20,14.5,Fiserv
Data / Analytics,Data Analyst – SaaS Integration Insights,India / Remote,Analyse SaaS usage and integration data for product improvement at Celigo.,"SQL, Excel, Data visualization",9,14,11.5,Celigo
Data / Analytics,Data Analyst – Connected Vehicle Insights,India,Analyse vehicle/IoT data from connected vehicle systems at Continental.,"SQL, Excel, IoT data awareness",9,26,17.5,Continental AG
Data / Analytics,Data Analyst – Financial & Risk Insights,India,Analyse banking/financial data to support DBS’s risk & product decisions.,"SQL, Excel, Finance domain knowledge",9,14,11.5,DBS Bank
Data / Analytics,Business Analyst – Marketplace Insights,India,"Analyse user, seller & marketplace data at Flipkart. (LinkedIn)","SQL, Excel, analytics",9,24,16.5,Flipkart
Data / Analytics,Data Analyst – Aerial Analytics,India,Analyse drone-captured data (images/sensors) and build insights.,"Python, data visualisation, domain interest",9,20,14.5,Garuda Aerospace
Data / Analytics,Data Analyst – Business Technologies,India,Analyse business-tech data to support IBM’s projects & services.,"SQL, Excel, analytics",9,14,11.5,IBM
Data / Analytics,Data Analyst – Vehicle/Telematics Data,India,Analyse vehicle and telematics data for Jaguar Land Rover’s product improvements.,"SQL, Excel, data visualisation, automotive interest",9,20,14.5,Jaguar Land Rover
Data / Analytics,Data Analyst – Banking Insights,India,Analyse banking/transaction data for Kotak’s product decisions.,"SQL, Excel, Analytics",9,18,13.5,Kotak Mahindra Bank
Data / Analytics,Data Analyst – Job Market Insights,India,Analyse job/industry data to generate insights and reports for Naukri.com.,"SQL, Excel, analytics",9,17,13,Naukri.com
Data / Analytics,Business/Data Analyst – Marketplace Insights,India,Analyse user/marketplace data and generate insights for Nykaa.,"SQL, Excel, Analytics",9,23,16,Nykaa
Data / Analytics,Business/Data Analyst – Ride & Fleet Insights,India,Analyse ride/fleet data to optimise performance for Ola.,"SQL/Excel, Analytics, Mobility domain knowledge",9,15,12,Ola Cabs
Data / Analytics,Analytics Consultant – HR & Workforce Intelligence,India,Analyse HR/data-insights and build dashboards for PeopleStrong’s clients.,"SQL, Analytics, HR/Business domain",9,23,16,PeopleStrong
Data / Analytics,Data Analyst – Healthcare Operations Insights,India,Analyse healthcare/operations data at Providence.,"SQL/Excel, analytics, domain interest",9,22,15.5,Providence Health & Services
Data / Analytics,Data Analyst – Big Data & Supply-Chain Insights,India,Analyse data across Schneider’s supply chain and services business.,"SQL, Excel, analytics, domain interest",9,20,14.5,Schneider Electric
Data / Analytics,Data Analyst – Learning Analytics,India,Analyse learner data and platform performance for UpGrad.,"SQL/Excel, analytics, education domain",9,14,11.5,UpGrad
Data / Analytics,Data Analyst – Viewing/Platform Analytics,India / Remote,Analyse viewer and platform data for Roku’s streaming service.,"SQL/Excel, analytics, media domain",9,14,11.5,"Roku, Inc."
Data / Analytics,Data Analyst – Fleet/Platform Insights,India,"Analyse usage, fleet, platform data for Zoomcar.","SQL/Excel, analytics, mobility domain",9,14,11.5,Zoomcar
Data / Analytics,Data Analyst – Business Insights,India,Analyse business data to find insights and help HP make decisions.,"SQL, Excel, Data Visualisation",8,21,14.5,HP Inc.
Data / Analytics,Business Analyst – Banking Operations,India,"Analyse data related to banking operations, help improve efficiency.","SQL, Excel, Business understanding",8,25,16.5,Jupiter Financial
Data / Analytics,Data Analyst – E-Commerce,India,Analyse user & product data to help improve the online medical/healthcare store.,"SQL, Excel, Data Visualisation",8,32,20,Netmeds
Data / Analytics,Data Analyst – Urban Mobility Insights,India,"Analyse usage, parking data & drive product & operations insights.","SQL, Excel, BI tools",8,13,10.5,ParkPlus
Data / Analytics,Data Analyst – User Behaviour & Insights,India,"Analyse how users engage with ShareChat’s content and apps, help improve features.","SQL, Excel, Data Visualisation",8,24,16,ShareChat Technology Pvt. Ltd.
Data / Analytics,Data Analyst – Supply Chain Insights,India,Analyse logistics and movement data to help optimise Shipsy’s platform & client operations.,"SQL, Excel, Data Visualisation, Domain interest",8,13,10.5,Shipsy
Data / Analytics,Data Analyst – User Behaviour & Insights,India,Analyse user interaction & engagement data to improve platform features.,"SQL, Excel, Analytics",8,22,15,ShareChat
Data / Analytics,Data Analyst – Supply Chain Insights,India,Analyse logistics data to help Shipsy optimise operations.,"SQL, Excel, Data visualisation",8,23,15.5,Shipsy
Data / Analytics,Data Analyst – Platform Insights,India,Analyse learner & educator data to improve platform performance.,"SQL, Excel, Data visualisation",8,15,11.5,Unacademy
Data / Analytics,Data Analyst – Platform Insights,India,Analyse platform data and generate insights to improve Wooqer’s product usage.,"SQL, Excel, data visualisation",8,24,16,Wooqer
Data / Analytics,Business Analyst – Finance Operations,India,Support finance operations with data analysis at Amex. (American Express),"Excel, analytics, process understanding",8,21,14.5,American Express
Data / Analytics,Data Analyst – Supply Chain & Operations,India,Analyse supply chain data for semiconductor manufacturing.,"SQL, Excel, analytics",8,22,15,Analog Devices
Data / Analytics,Data Analyst – Software Usage & Licensing,India,Analyse software usage/licensing & operations data for engineering-software business.,"SQL, Excel, analytics",8,22,15,Ansys
Data / Analytics,Data Analyst – Banking & Insights,India,Analyse banking data to improve products and operations at Axis Bank.,"SQL, Excel, Visualization",8,30,19,Axis Bank
